run_id,ts_utc,op_index,type,query_name,elapsed_ms,status,error
20260127_190152,2026-01-27T19:01:52.541452Z,0,READ,R5_avg_total_by_status,2.234,OK,
20260127_190152,2026-01-27T19:01:52.543051Z,1,WRITE,W5_audit_log,1.583,OK,
20260127_190152,2026-01-27T19:01:52.543582Z,2,READ,R1_orders_by_customer,0.522,OK,
20260127_190152,2026-01-27T19:01:52.546084Z,3,READ,R2_revenue_by_city,2.493,OK,
20260127_190152,2026-01-27T19:01:52.546503Z,4,READ,R2_revenue_by_city,0.408,OK,
20260127_190152,2026-01-27T19:01:52.546839Z,5,READ,R5_avg_total_by_status,0.331,OK,
20260127_190152,2026-01-27T19:01:52.547151Z,6,READ,R2_revenue_by_city,0.307,OK,
20260127_190152,2026-01-27T19:01:52.547458Z,7,READ,R5_avg_total_by_status,0.302,OK,
20260127_190152,2026-01-27T19:01:52.549559Z,8,READ,R3_top_products,2.096,OK,
20260127_190152,2026-01-27T19:01:52.550085Z,9,READ,R1_orders_by_customer,0.517,OK,
20260127_190152,2026-01-27T19:01:52.550490Z,10,READ,R2_revenue_by_city,0.401,OK,
20260127_190152,2026-01-27T19:01:52.550917Z,11,READ,R5_avg_total_by_status,0.422,OK,
20260127_190152,2026-01-27T19:01:52.551467Z,12,READ,R3_top_products,0.534,OK,
20260127_190152,2026-01-27T19:01:52.553285Z,13,READ,R4_recent_customers,1.808,OK,
20260127_190152,2026-01-27T19:01:52.553779Z,14,READ,R2_revenue_by_city,0.484,OK,
20260127_190152,2026-01-27T19:01:52.553812Z,15,WRITE,UNKNOWN,0.024,FAIL,2 params bound not matching 3 required
20260127_190152,2026-01-27T19:01:52.554224Z,16,READ,R3_top_products,0.405,OK,
20260127_190152,2026-01-27T19:01:52.554657Z,17,READ,R3_top_products,0.429,OK,
20260127_190152,2026-01-27T19:01:52.554677Z,18,WRITE,UNKNOWN,0.015,FAIL,2 params bound not matching 4 required
20260127_190152,2026-01-27T19:01:52.555198Z,19,READ,R1_orders_by_customer,0.515,OK,
20260127_190152,2026-01-27T19:01:52.555566Z,20,READ,R2_revenue_by_city,0.366,OK,
20260127_190152,2026-01-27T19:01:52.555583Z,21,WRITE,UNKNOWN,0.013,FAIL,2 params bound not matching 3 required
20260127_190152,2026-01-27T19:01:52.557029Z,22,WRITE,UNKNOWN,1.441,FAIL,Statement Execute Failed: [IBM][CLI Driver] CLI0112E  Error in assignment. SQLSTATE=22005 SQLCODE=-99999
20260127_190152,2026-01-27T19:01:52.557762Z,23,READ,R1_orders_by_customer,0.723,OK,
20260127_190152,2026-01-27T19:01:52.558221Z,24,READ,R3_top_products,0.449,OK,
20260127_190152,2026-01-27T19:01:52.558681Z,25,READ,R3_top_products,0.453,OK,
20260127_190152,2026-01-27T19:01:52.559114Z,26,READ,R5_avg_total_by_status,0.428,OK,
20260127_190152,2026-01-27T19:01:52.559132Z,27,WRITE,UNKNOWN,0.013,FAIL,2 params bound not matching 3 required
20260127_190152,2026-01-27T19:01:52.559146Z,28,WRITE,UNKNOWN,0.01,FAIL,2 params bound not matching 4 required
20260127_190152,2026-01-27T19:01:52.559677Z,29,READ,R1_orders_by_customer,0.527,OK,
20260127_190152,2026-01-27T19:01:52.559691Z,30,WRITE,UNKNOWN,0.011,FAIL,2 params bound not matching 4 required
